update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,5120,1310.20851967213,3,0.0,0.0,0,0,1.9445995688438416,0.07638299353420734,0.012957744486629962,0.0001009459163469728,0.0032257582,0.0,0.0,0,0
2,10240,1644.3108730625984,7,0.0,0.0,0,0,1.9450024247169495,0.07145789824426174,0.012139472318813205,2.4532598217774648e-05,0.001685768,0.0,0.0,0,0
3,15360,1592.7696149310143,10,0.0,0.0,0,0,1.9447542548179626,0.05519717615097761,0.009771855687722564,1.1739166711777217e-05,0.0016008615,0.0,0.0,0,0
4,20480,1682.1315443933756,13,0.0,0.0,0,0,1.9451941430568696,0.0439736632630229,0.007689930219203234,1.0275198155795806e-05,0.0010012669,0.0,0.0,0,0
5,25600,1633.2179422164234,16,0.0,0.0,0,0,1.9456314504146577,0.03499666154384613,0.006070889416150749,6.803198425586743e-06,0.0009790483,0.0,0.0,0,0
6,30720,1604.3710108010291,19,0.0,0.0,0,0,1.9457566738128662,0.027718413062393664,0.0048987932037562135,5.466492643790843e-06,0.0007146195,0.0,0.0,0,0
7,35840,1572.4151169442766,22,0.0,0.0,0,0,1.9457634449005128,0.021734152734279633,0.003960394056048244,4.447303035703954e-06,0.00073720585,0.0,0.0,0,0
8,40960,1644.792217312445,25,0.0,0.0,0,0,1.9458103358745575,0.017479183711111547,0.0031087573152035475,3.232151743759459e-06,0.000588653,0.0,0.0,0,0
9,46080,1445.9533520786874,29,0.0,0.0,0,0,1.9457803905010223,0.013692858861759305,0.0024168558185920118,4.0430974308947045e-06,0.0006280639,0.0,0.0,0,0
10,51200,1369.2727923328812,33,0.0,0.0,0,0,1.9457843542098998,0.011205713544040919,0.001979056280106306,2.8270231609894835e-06,0.0005425433,0.0,0.0,0,0
11,56320,1517.0209621044926,36,0.0,0.0,0,0,1.945814198255539,0.008579905563965439,0.001589027774753049,2.2150933261855243e-06,0.00047600782,0.0,0.0,0,0
12,61440,1645.9206135211014,39,0.0,0.0,0,0,1.945838564634323,0.007428546878509223,0.0012314609484747052,1.8698057715482719e-06,0.00030221633,0.0,0.0,0,0
13,66560,1621.7652507321034,42,0.015595702826976776,0.0973951329380862,0.0,0.623828113079071,1.940964835882187,0.008393992396304385,-0.0010179776407312601,0.0005208478312852094,0.005842447,0.015595702826976776,0.0973951329380862,0.0,0.623828113079071
14,71680,1616.821005296136,46,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071,1.9423723757266997,0.015349564841017127,0.0002705959494051058,0.0004904525323581766,0.006037661,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071
15,76800,1606.1365939263865,49,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071,1.9447150230407715,-0.0012749422654451336,-0.000641995613113977,4.482583317440003e-05,0.0017457962,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071
16,81920,1607.1512135375026,52,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071,1.9453246593475342,-0.005453872517682612,-0.00046303693197842223,1.173765022031148e-05,0.0009861798,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071
17,87040,1590.0573883662,55,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071,1.945499724149704,-0.008348351251333952,-0.001263540086802095,2.9721575629082507e-06,0.0005324349,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071
18,92160,1342.6850667086658,59,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071,1.9456626772880554,-0.005781783326528967,-0.001064071583095938,2.019497173932905e-06,0.0004653638,0.030265624821186065,0.1319897506381669,0.0,0.623828113079071
19,97280,1302.9685933941932,63,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9433231592178344,-0.002987172151915729,-0.0024293471942655742,0.00022992237518337788,0.003171802,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
20,102400,966.6916911552506,68,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9444275140762328,-0.0030634857364930214,-0.0011815827056125272,2.6605363746057265e-05,0.0014931653,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
21,107520,849.750417993336,74,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9453229069709779,-0.005621462315320969,-0.0008603022812167183,3.097241301475151e-06,0.00078751956,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
22,112640,794.9062125678684,81,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9456504344940186,-0.006806713645346463,-0.0011418744397815317,1.4310262884009716e-06,0.00038616185,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
23,117760,749.3363300036028,88,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9457805633544922,-0.00559860123321414,-0.0010108175338245928,9.471075259170903e-07,0.00031036223,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
24,122880,825.0854821963063,94,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9457716584205627,-0.004319957504048943,-0.0007178022380685434,9.695614551219478e-07,0.0002069221,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
25,128000,1412.6132676147968,97,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.94575115442276,-0.0030154992127791047,-0.0005364957454730756,1.1678141817128563e-06,0.0003823827,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
26,133120,1574.534020898533,101,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9458162367343903,-0.002186695084674284,-0.0003759578699828126,7.729794887723074e-07,0.00026969894,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
27,138240,959.3898457494887,106,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.945817416906357,-0.0021837633044924586,-0.0003885237718350254,1.0633105688384604e-06,0.0004977534,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
28,143360,1498.1914462558532,109,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9458266973495484,-0.0018751903437078,-0.00029475462069967763,7.944971258666556e-07,0.00039102446,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
29,148480,1435.5214331499483,113,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9458088457584382,-0.0015504962124396116,-0.000300287709251279,7.324178966428008e-07,0.0003787443,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
30,153600,1511.860679939086,116,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9458419322967528,-0.0013239023508504033,-0.0002475556237186538,7.482817792947572e-07,0.00021200834,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
31,158720,1617.4360923350268,120,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9458633303642272,-0.0011177217413205654,-0.00017455989582231267,5.304555145357881e-07,0.00018925517,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
32,163840,1613.9572993625366,123,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071,1.9458683729171753,-0.0011162078095367177,-0.00021708925560233184,4.1990011254711137e-07,0.00019494888,0.041431640088558194,0.14699631763061943,0.0,0.623828113079071
33,168960,1624.620252431975,126,0.02583593726158142,0.11370120789380626,0.0,0.5867968797683716,1.9458693087100982,-0.0010352725075790659,-0.00016035867993196006,3.4582990124931714e-07,0.0001565138,0.02583593726158142,0.11370120789380626,0.0,0.5867968797683716
34,174080,1647.659284022716,129,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525,1.9458788931369781,-0.0008713882620213553,-0.00013718696382056806,3.377450418895478e-07,0.00020387411,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525
35,179200,1646.7663803124533,132,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525,1.9458723723888398,-0.0008260138245532289,-0.00015641900281480048,3.256030431941781e-07,0.00013338219,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525
36,184320,1640.1410982697544,135,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525,1.9458602964878082,-0.00043758067913586275,-7.911568973213434e-05,4.183765696552655e-07,0.00018883661,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525
37,189440,1373.2520864957805,139,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525,1.945855402946472,-0.00033765096304705366,-6.231273532648629e-05,4.979106222435803e-07,0.00011968007,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525
38,194560,1385.5884592216437,143,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525,1.9458619475364685,-0.00012506652865340584,-9.488664518357837e-05,6.821438361725996e-07,0.00023938359,0.011166015267372131,0.06973174299482493,0.0,0.44664061069488525
39,199680,1372.1038950284926,146,0.0,0.0,0.0,0.0,1.945855587720871,3.7931350516373644e-05,-2.3314261397899827e-05,1.2555965696492421e-06,0.0002180123,0.0,0.0,0.0,0.0
40,204800,1580.4579926153963,150,0.0,0.0,0.0,0.0,1.9458502531051636,0.00012664374644373312,4.959201679639591e-05,9.58349743029885e-07,0.00045489793,0.0,0.0,0.0,0.0
41,209920,1490.1512554940855,153,0.0,0.0,0.0,0.0,1.9458944082260132,3.158284744131379e-05,6.963001605981844e-05,3.2002172432044065e-07,0.00020597037,0.0,0.0,0.0,0.0
42,215040,1466.2144396765086,157,0.0,0.0,0.0,0.0,1.9458909630775452,-0.0001857137457591307,-4.826133326787385e-05,4.034527940177668e-07,0.00029732962,0.0,0.0,0.0,0.0
43,220160,1527.296497482413,160,0.0,0.0,0.0,0.0,1.945878529548645,0.00019702625968420762,4.18577140862908e-05,4.5202504637131826e-07,0.00036458974,0.0,0.0,0.0,0.0
44,225280,1602.1610560511454,163,0.0,0.0,0.0,0.0,1.945889413356781,0.00029702252522838534,3.4307545365663825e-05,2.3658396202108635e-07,0.00015597205,0.0,0.0,0.0,0.0
45,230400,1570.5933882305308,166,0.0,0.0,0.0,0.0,1.9458905816078187,0.0006206336212926545,9.465091334277531e-05,1.451183003098322e-07,9.604807e-05,0.0,0.0,0.0,0.0
46,235520,1632.7935009533762,170,0.0,0.0,0.0,0.0,1.9458907961845398,0.0007935574627481401,0.00014140971870801877,2.1876264391096357e-07,0.0002348684,0.0,0.0,0.0,0.0
47,240640,1608.4761970674354,173,0.0,0.0,0.0,0.0,1.9458918213844298,0.000808607434737496,0.000148817733861506,1.6645902043421756e-07,0.00019456817,0.0,0.0,0.0,0.0
48,245760,1630.109910096192,176,0.0,0.0,0.0,0.0,1.9458898544311523,0.0005278597978758626,9.727806645969395e-05,2.0643306939405192e-07,0.00013605584,0.0,0.0,0.0,0.0
49,250880,1629.5266930645678,179,0.0,0.0,0.0,0.0,1.945889401435852,0.0002971149529912509,7.76229740040435e-05,1.509976293334603e-07,0.00015167851,0.0,0.0,0.0,0.0
50,256000,1633.8623521923441,182,0.0,0.0,0.0,0.0,1.9458918631076814,0.0003820877362159081,7.056365939206444e-05,1.661909379890858e-07,0.0001779242,0.0,0.0,0.0,0.0
51,261120,1610.8441337598147,185,0.0,0.0,0.0,0.0,1.9458892405033112,0.00018564555712146101,2.224556315013615e-05,1.8899621778700748e-07,0.00016214374,0.0,0.0,0.0,0.0
52,266240,1623.100955909818,189,0.0,0.0,0.0,0.0,1.9458873987197876,0.0002493938409315888,4.321371551441189e-05,2.6822284766581105e-07,0.00016853244,0.0,0.0,0.0,0.0
53,271360,1634.458007314512,192,0.01541406214237213,0.09626078722630248,0.0,0.6165624856948853,1.943283784389496,0.002126205253080116,-0.0021043831684437464,0.00047973789796742496,0.0039849407,0.01541406214237213,0.09626078722630248,0.0,0.6165624856948853
54,276480,1631.9648748328505,195,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853,1.9450769186019898,0.00718152275076136,-0.0006335719610433444,0.0003255974735111522,0.0035053797,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853
55,281600,1597.8493550294281,198,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853,1.945718777179718,0.003470744763035327,0.0004884205445705447,5.393456990532286e-06,0.0005931231,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853
56,286720,1574.7886177591897,201,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853,1.945802253484726,0.0017078553733881562,0.0003700907218444627,2.414333874867225e-06,0.000304022,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853
57,291840,1570.5583543845826,205,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853,1.945841509103775,0.0018140376079827548,0.0003696417472383473,9.632106014123566e-07,0.0003235307,0.030488280951976775,0.13290402590795833,0.0,0.6165624856948853
58,296960,1622.8826212017268,208,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9445509612560272,0.003420692397048697,-0.0012709023076695302,7.675027336517815e-05,0.0038570322,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
59,302080,1580.2219082603372,211,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9452827870845795,0.004133631865261123,-0.00011837623678729869,7.236770265990344e-05,0.0017752703,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
60,307200,1600.0364550313316,214,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9449994683265686,-0.00555105694802478,-0.0018368916731560602,4.599958110702573e-05,0.0021301748,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
61,312320,1621.6760941073167,217,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458146452903748,-0.0073749991599470375,-0.0012192952854093164,1.6118518317398412e-06,0.0003450638,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
62,317440,1643.1529985647264,220,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458481907844543,-0.008234816789627075,-0.0013730124745052307,8.961723210632044e-07,0.00024700206,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
63,322560,1631.7502244385996,224,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458706259727478,-0.00649137613363564,-0.0011484014452435077,5.898240701185387e-07,0.00020368662,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
64,327680,1646.874735568187,227,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458790957927703,-0.005121672968380153,-0.0009002524486277253,6.603651087289108e-07,0.00024432177,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
65,332800,1638.6380345777768,230,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.945880401134491,-0.004489587224088609,-0.000805715299793519,3.12305364502663e-07,0.00018563509,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
66,337920,1626.5646178638526,233,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458359122276305,-0.0032211491488851607,-0.000609387976146536,1.9706746201109125e-06,0.0003736241,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
67,343040,1618.035555010388,236,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458372950553895,-0.0017437942035030574,-0.00026828939298866316,4.812359577499592e-07,0.0001515427,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
68,348160,1617.5676703948213,239,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9458694219589234,-0.0008325646602315828,-0.0002713839232455939,1.1070776167798612e-06,0.00029247015,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
69,353280,1624.8180326137322,242,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9457493603229523,0.0005034440800955053,1.3213585918947502e-05,1.7924094237287136e-06,0.00027254556,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
70,358400,1624.278767841108,246,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853,1.9455894887447358,0.0019811958190985024,0.0003254083923820872,1.1321771836492188e-06,0.00022697286,0.04225781187415123,0.14949303341186035,0.0,0.6165624856948853
71,363520,1638.6460369415818,249,0.05957031175494194,0.1804831674849068,0.0,0.6924999952316284,1.9443224906921386,0.0034145104058552534,-0.0017957153351744637,0.0003018912757852377,0.004431466,0.05957031175494194,0.1804831674849068,0.0,0.6924999952316284
72,368640,1635.4493236080411,252,0.05957031175494194,0.1804831674849068,0.0,0.6924999952316284,1.945750391483307,0.0012789343862095847,0.0006271405043662525,6.684679055979359e-06,0.00059939595,0.05957031175494194,0.1804831674849068,0.0,0.6924999952316284
73,373760,1615.1532143373147,255,0.029082030802965165,0.12916662066645293,0.0,0.6924999952316284,1.9458310008049011,0.004879668541252613,0.0007904460042482242,2.7992663547138363e-06,0.00044759497,0.029082030802965165,0.12916662066645293,0.0,0.6924999952316284
74,378880,1624.423011899112,258,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.94582701921463,0.002339430060237646,0.0004292402518331073,1.5689073165958688e-06,0.00023246801,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
75,384000,1635.0831035887663,261,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.9458445489406586,0.0025213630171492694,0.0004441777768079191,6.408344233932439e-07,0.00015653111,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
76,389120,1613.7655497545554,265,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.9458735525608062,0.0019012860022485257,0.0003290932530944701,4.0970432024778347e-07,0.000134406,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
77,394240,1626.4852805558887,268,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.9458835482597352,0.001951505575561896,0.000327210572140757,3.455244964811754e-07,0.00018234525,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
78,399360,1606.8892923041053,271,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.945855873823166,0.001280821891850792,0.00025506088786642067,1.3644689289549206e-06,0.00031588398,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
79,404480,1609.5192286360646,274,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.945881724357605,0.0012058089778292924,0.00021799119131173938,3.0166368034656445e-07,9.043883e-05,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
80,409600,1609.5834074109607,277,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458612084388733,0.000625239170040004,0.00020590925196302124,5.716479392958718e-07,0.00018495639,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
81,414720,1637.7525059901398,280,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458958148956298,0.0008088379923719913,0.0002523765702790115,2.5863646726520526e-07,0.00011419249,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
82,419840,1611.1647613263494,284,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458981096744536,0.0002389232497080229,4.8545481422479495e-05,1.1571389464393178e-07,8.75701e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
83,424960,1624.9782342061317,287,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458974361419679,0.0003909314378688578,5.2040471473446814e-05,1.504626364834394e-07,0.00012266026,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
84,430080,1633.721895585243,290,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.945899522304535,0.000421881114016287,7.167146668507485e-05,1.574849001428902e-07,7.491225e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
85,435200,1609.3597689518824,293,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458989024162292,0.00045474460785044357,7.257031252265733e-05,1.5145112257641814e-07,9.258375e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
86,440320,1617.6428500620848,296,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458964586257934,0.00036081241705687717,7.132271193768246e-05,1.7204785791591347e-07,6.0384074e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
87,445440,1623.1013239392528,299,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458925247192382,0.00033657676249276847,6.264130347517493e-05,1.6089768877236567e-07,0.00010042354,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
88,450560,1576.7049471761275,303,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458936989307403,0.00035806095984298737,4.763884678595787e-05,1.8530388743442927e-07,0.0001276563,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
89,455680,1638.7350685107124,306,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458895385265351,0.00010353000407121726,2.09941476896347e-05,3.9067912283030637e-07,0.00010974789,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
90,460800,1622.6591956022314,309,0.01767578125,0.11038521852637792,0.0,0.70703125,1.9435634553432464,0.0022895730809977975,-0.002347208558785496,0.0003604610659749596,0.0029534134,0.01767578125,0.11038521852637792,0.0,0.70703125
91,465920,1629.325539824889,312,0.029931640625,0.13270143240448057,0.0,0.70703125,1.9453079283237458,0.0046808396120468386,-0.0003825065115961479,9.757511888892622e-05,0.0028538578,0.029931640625,0.13270143240448057,0.0,0.70703125
92,471040,1616.0469362301142,315,0.04431445300579071,0.1575322640183391,0.0,0.70703125,1.9446841418743133,0.009794719924684614,-0.0008562798415368888,0.00026815133714990224,0.005764088,0.04431445300579071,0.1575322640183391,0.0,0.70703125
93,476160,1627.2963888142697,318,0.04431445300579071,0.1575322640183391,0.0,0.70703125,1.945598977804184,0.0034081767895258962,0.0005236201373918448,3.853901826005313e-05,0.0018620575,0.04431445300579071,0.1575322640183391,0.0,0.70703125
94,481280,1623.551671635894,322,0.04431445300579071,0.1575322640183391,0.0,0.70703125,1.9452861368656158,0.00148516733024735,-0.0008640037987788674,0.00010538580977481615,0.0024559223,0.04431445300579071,0.1575322640183391,0.0,0.70703125
95,486400,1630.4302075654057,325,0.05872070342302323,0.17785855611921506,0.0,0.70703125,1.9443232834339141,0.006372881541028619,-0.0004949681193465949,0.00012475113712753227,0.0023157313,0.05872070342302323,0.17785855611921506,0.0,0.70703125
96,491520,1635.731852188127,328,0.08559374958276748,0.20542578613770102,0.0,0.70703125,1.9421336114406587,0.002149281294987304,-0.0027769190118306143,0.00025339015901408856,0.0048869424,0.08559374958276748,0.20542578613770102,0.0,0.70703125
97,496640,1631.5845941076668,331,0.08559374958276748,0.20542578613770102,0.0,0.70703125,1.9455206394195557,-0.002203868082142435,-0.000740648163628066,1.530356637431396e-05,0.0012906505,0.08559374958276748,0.20542578613770102,0.0,0.70703125
98,501760,1607.1792386335453,334,0.09732812494039536,0.21345046796590758,0.0,0.70703125,1.9435787618160247,0.0005844816423632437,-0.0015754939406178892,0.0001371248583382112,0.0034461268,0.09732812494039536,0.21345046796590758,0.0,0.70703125
99,506880,1623.2178749886714,337,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9440979301929473,-0.0015227155017782934,-0.0018219269331893884,0.00012571200377351489,0.0027396656,0.10834765583276748,0.21943530731935562,0.0,0.70703125
100,512000,1610.671847656809,340,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9453757405281067,-0.00019098772872894187,-2.504814310668735e-05,1.239042012457503e-05,0.0012244806,0.10834765583276748,0.21943530731935562,0.0,0.70703125
101,517120,1634.252650001754,344,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9457937180995941,-0.0018478200770914554,-0.0001584814897796605,2.183825745305512e-06,0.0004413342,0.10834765583276748,0.21943530731935562,0.0,0.70703125
102,522240,1629.775761638528,347,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9457854747772216,-0.0005895587193663232,-0.0001255994436178298,1.4922061353672688e-06,0.00031969484,0.10834765583276748,0.21943530731935562,0.0,0.70703125
